,count,mean,std,min,25%,50%,75%,max
Bacteria_0,100.0,201.28,13.489299912197525,169.0,191.75,200.0,208.0,247.0
Bacteria_1,100.0,201.29,14.383137573723143,170.0,191.0,200.5,210.25,242.0
Bacteria_2,100.0,199.42,15.28330441820073,165.0,188.0,200.0,208.25,231.0
Bacteria_3,100.0,197.3,12.520286568508556,172.0,189.0,197.0,205.0,233.0
Bacteria_4,100.0,199.54,12.596632546643232,174.0,192.0,198.0,207.0,233.0
Bacteria_5,100.0,200.16,12.694323872733774,169.0,190.0,202.5,209.0,229.0
Bacteria_6,100.0,198.07,14.606802759970671,158.0,187.75,200.0,208.0,232.0
Bacteria_7,100.0,201.78,14.288923449068278,169.0,192.75,203.0,210.25,246.0
Bacteria_8,100.0,200.53,14.70824341117675,167.0,191.0,200.0,209.0,245.0
Bacteria_9,100.0,198.02,15.09162588050644,159.0,188.0,200.5,210.0,235.0
Bacteria_10,100.0,200.55,15.4137384606504,166.0,190.75,202.0,209.5,237.0
Bacteria_11,100.0,198.99,15.190038601901996,161.0,189.0,200.0,209.0,240.0
Bacteria_12,100.0,199.53,15.287451115740701,168.0,189.75,199.0,211.0,240.0
Bacteria_13,100.0,198.28,14.257431165337724,169.0,188.5,198.0,208.25,233.0
Bacteria_14,100.0,199.55,11.78714845443412,171.0,192.5,200.0,207.0,230.0
Bacteria_15,100.0,200.86,13.963892832240694,173.0,192.0,199.0,210.25,241.0
Bacteria_16,100.0,199.03,14.267611835018062,167.0,187.0,199.5,210.25,234.0
Bacteria_17,100.0,201.34,13.078025366038538,173.0,192.0,199.0,209.0,236.0
Bacteria_18,100.0,199.08,15.618352323242336,155.0,188.75,198.0,210.0,237.0
Bacteria_19,100.0,201.38,12.442822765909607,171.0,192.0,202.5,210.25,237.0
Bacteria_20,100.0,198.4,13.530362414610595,165.0,188.75,197.5,207.0,235.0
Bacteria_21,100.0,200.9,13.664449191869085,171.0,191.0,202.0,210.0,233.0
Bacteria_22,100.0,199.12,14.015345125607821,152.0,190.0,200.5,207.0,240.0
Bacteria_23,100.0,201.17,14.260955384715585,171.0,192.0,202.0,210.25,237.0
Bacteria_24,100.0,201.59,15.027983997539492,159.0,191.75,201.0,214.0,234.0
Bacteria_25,100.0,201.86,14.981483520828252,165.0,192.75,203.0,211.25,249.0
Bacteria_26,100.0,196.95,13.617706091406115,171.0,186.75,196.0,206.0,237.0
Bacteria_27,100.0,200.48,12.554109150619034,166.0,191.75,200.5,209.25,233.0
Bacteria_28,100.0,198.45,14.353667746530077,166.0,187.0,197.5,209.0,234.0
Bacteria_29,100.0,199.45,12.178284200190355,172.0,191.75,199.0,208.0,239.0
Bacteria_30,100.0,201.05,14.227143640296045,161.0,193.75,200.5,210.0,250.0
Bacteria_31,100.0,201.03,14.667668698552783,160.0,192.0,201.0,209.25,243.0
Bacteria_32,100.0,201.77,16.237414706893347,166.0,190.0,199.0,213.0,253.0
Bacteria_33,100.0,198.16,12.88387920753464,164.0,189.75,201.0,207.25,231.0
Bacteria_34,100.0,198.8,12.698524530532088,168.0,189.75,199.5,207.0,231.0
Bacteria_35,100.0,200.41,16.4967673601022,161.0,189.75,201.0,211.0,242.0
Bacteria_36,100.0,200.47,14.271859009812268,165.0,189.75,198.5,211.0,234.0
Bacteria_37,100.0,198.95,13.576848238115062,165.0,189.0,197.5,208.5,233.0
Bacteria_38,100.0,200.61,15.237443911945892,152.0,190.75,200.0,210.25,234.0
Bacteria_39,100.0,202.1,14.016224365161449,170.0,193.0,201.5,211.0,235.0
Bacteria_40,100.0,200.08,14.646459909438455,165.0,189.0,200.0,210.0,229.0
Bacteria_41,100.0,198.44,13.504447452972707,166.0,190.0,197.0,204.25,236.0
Bacteria_42,100.0,202.65,13.983666518225085,170.0,191.75,203.0,213.0,244.0
Bacteria_43,100.0,200.06,14.698876477369613,170.0,191.75,199.0,207.0,239.0
Bacteria_44,100.0,199.61,15.048000639032523,162.0,190.0,200.0,208.5,239.0
Bacteria_45,100.0,200.68,14.998909051236785,169.0,190.75,200.0,211.0,243.0
Bacteria_46,100.0,200.35,14.205117160212144,171.0,191.75,199.5,211.25,229.0
Bacteria_47,100.0,199.04,13.711250265325326,164.0,189.75,200.0,207.0,238.0
Bacteria_48,100.0,201.23,14.746925719681991,159.0,191.0,200.5,211.25,241.0
Bacteria_49,100.0,200.16,14.104029082628706,170.0,191.75,200.0,211.0,236.0
