bacteria,f_statistic,p_value,eta_squared,significant
Bacteria_27,3117.7289715435895,4.218795850486124e-76,0.969524794885634,True
Bacteria_3,2928.191346967956,8.286616162500935e-75,0.9676160596724362,True
Bacteria_29,2829.790028597392,4.188736100688601e-74,0.9665276542911967,True
Bacteria_4,2815.7143969033746,5.304848769385055e-74,0.9663659553921442,True
Bacteria_5,2751.1270791026845,1.591709000223136e-73,0.9656034998513076,True
Bacteria_19,2614.5132272038513,1.7697151255053974e-72,0.9638711439202744,True
Bacteria_14,2533.26975340449,7.857197576254447e-72,0.9627556240202271,True
Bacteria_33,2396.4915938491226,1.0757276025838601e-70,0.9607134374629097,True
Bacteria_17,2346.064367926465,2.9274039306601256e-70,0.9599028563707007,True
Bacteria_37,2301.9745585894552,7.145620750762013e-70,0.9591662338047457,True
Bacteria_6,2297.5219149721593,7.826629597443057e-70,0.9590903345999494,True
Bacteria_42,2294.1270937622717,8.390090930276149e-70,0.95903227706607,True
Bacteria_34,2287.550545633115,9.60234788298172e-70,0.9589193361761318,True
Bacteria_39,2258.5127550924885,1.7502991769659416e-69,0.958413125586433,True
Bacteria_21,2254.8308471552314,1.8897402213786096e-69,0.9583480469416279,True
Bacteria_40,2227.2151730175465,3.3710266789746486e-69,0.9578533629329364,True
Bacteria_28,2201.685954945308,5.791648937360291e-69,0.9573854857054468,True
Bacteria_23,2161.082582341716,1.3869386622535833e-68,0.9566195584145418,True
Bacteria_20,2151.198247880413,1.7195459710554645e-68,0.9564289185747177,True
Bacteria_41,2143.958626897927,2.013965659028477e-68,0.9562882210116446,True
Bacteria_48,2125.400815369129,3.0270181426898593e-68,0.9559233767827282,True
Bacteria_15,2091.9319734646256,6.366995954402836e-68,0.9552497515048577,True
Bacteria_47,2076.38871798662,9.027848571787142e-68,0.9549298618092797,True
Bacteria_49,2074.372707862016,9.447853094769816e-68,0.9548880357199625,True
Bacteria_31,2042.7366224670359,1.939391467441007e-67,0.9542213652200413,True
Bacteria_30,2036.2037845554291,2.252874532351822e-67,0.9540812359582551,True
Bacteria_16,2033.4663511670758,2.3991808140860783e-67,0.9540222626801776,True
Bacteria_26,1982.0507561728346,7.94217172768199e-67,0.952885765066467,True
Bacteria_7,1977.5517671855257,8.831608999477812e-67,0.9527836397292616,True
Bacteria_38,1955.4591991106306,1.492383034318142e-66,0.9522756526925666,True
Bacteria_32,1853.6653608038146,1.804646769329986e-65,0.9497864736608137,True
Bacteria_25,1836.1684527177235,2.806310863312337e-65,0.9493322311909812,True
Bacteria_13,1833.8902452648215,2.973237517215306e-65,0.9492724805458258,True
Bacteria_46,1817.7335264965718,4.487924863737207e-65,0.9488446599464078,True
Bacteria_12,1804.896656175378,6.240190497994574e-65,0.9484995679182228,True
Bacteria_8,1792.6676026800706,8.559995237051784e-65,0.948166457255055,True
Bacteria_1,1789.499119938486,9.293639878215591e-65,0.9480794459903142,True
Bacteria_2,1750.6594709207463,2.575684197463502e-64,0.9469886144303311,True
Bacteria_22,1741.2953172431407,3.3038513267708244e-64,0.9467187247848327,True
Bacteria_36,1687.2116455251885,1.4272800067647756e-63,0.9451045481102218,True
Bacteria_44,1677.2763173251008,1.8764721598749188e-63,0.9447973258902805,True
Bacteria_18,1669.0037044150774,2.3593738158256234e-63,0.9445388825415956,True
Bacteria_9,1609.6993692216392,1.2580754477702624e-62,0.9426128499159262,True
Bacteria_10,1603.3013511401036,1.5122853339744624e-62,0.9423970362838271,True
Bacteria_35,1579.5291803153325,3.0148446676595094e-62,0.9415807479536191,True
Bacteria_43,1570.4152380649268,3.937928606646491e-62,0.9412616249455603,True
Bacteria_45,1568.414656895398,4.176536087061822e-62,0.9411911077507095,True
Bacteria_24,1499.1007061631221,3.353369137270861e-61,0.9386388099248697,True
Bacteria_11,1431.211543511341,2.8214413562931305e-60,0.9359146872675479,True
Bacteria_0,1033.473028098482,7.345010659397471e-54,0.913387241616624,True
