,Bacteria_27,Bacteria_3,Bacteria_29,Bacteria_4,Bacteria_5,Bacteria_19,Bacteria_14,Bacteria_33,Bacteria_17,Bacteria_37,Bacteria_6,Bacteria_42,Bacteria_34,Bacteria_39,Bacteria_21,Bacteria_40,Bacteria_28,Bacteria_23,Bacteria_20,Bacteria_41
Bacteria_27,1.0,0.9676663845900879,0.971822034010486,0.9705229083172511,0.9667235206741385,0.9600304885696487,0.962114539992942,0.960293592858985,0.961249490144973,0.9629821863311843,0.9718143462681368,0.9607463919198251,0.9669816187530538,0.9652471775514324,0.9643068601447761,0.9638603987671837,0.958496805482098,0.9643822370918664,0.9629733312521186,0.9588870779851987
Bacteria_3,0.9676663845900879,1.0,0.9691157790791207,0.966454579893778,0.9587924340018433,0.9672364142114505,0.9621529265747318,0.969970410164256,0.9612850566411307,0.9676856215480517,0.9627457727212365,0.9654791865764417,0.9676942575010927,0.9617034951615944,0.9621971585390477,0.9536784723261742,0.9575760120411607,0.9592802167789034,0.9572446750685124,0.9647846662546884
Bacteria_29,0.971822034010486,0.9691157790791207,1.0,0.959453151585832,0.9618281512887079,0.963092416053571,0.9662600677342659,0.9619222100648314,0.9604557872254922,0.9605328839145864,0.9597421498557027,0.9662592868185201,0.9635850667377803,0.9598729879511505,0.9620668686783285,0.9643986277797683,0.9503109058909114,0.9660001389088124,0.9597852975050166,0.9586940961694901
Bacteria_4,0.9705229083172511,0.966454579893778,0.959453151585832,1.0,0.9687573444856961,0.9668454191369134,0.9719937840350434,0.9614142861453125,0.956808885846615,0.9706826330302891,0.961592928769748,0.9667708647993711,0.9601402460132947,0.966600870577643,0.9677991185665719,0.9610220453071533,0.9580957364342959,0.9618412629792601,0.9641881147956197,0.9565310453118464
Bacteria_5,0.9667235206741385,0.9587924340018433,0.9618281512887079,0.9687573444856961,1.0,0.97009721954708,0.9633032426746847,0.9601018871075777,0.9604115794240532,0.9563605508583268,0.9573517422629655,0.9647182285770133,0.9676987381793307,0.9670223029911688,0.9634458394890453,0.9569770637595856,0.9611664621863409,0.9635932971716039,0.9702274674588164,0.9514241085091665
Bacteria_19,0.9600304885696487,0.9672364142114505,0.963092416053571,0.9668454191369134,0.97009721954708,1.0,0.9579831266492828,0.9623840658798284,0.9648255510940172,0.9639172700851171,0.9565378228422554,0.9737703848718056,0.9715654743578799,0.9609088674303334,0.9635738603046503,0.9622846128226482,0.9641464693484905,0.966989232254612,0.9651908778434732,0.9586989289876553
Bacteria_14,0.962114539992942,0.9621529265747318,0.9662600677342659,0.9719937840350434,0.9633032426746847,0.9579831266492828,1.0,0.9551051305275774,0.9589252171835038,0.9659639599637514,0.9599364931517926,0.9630302644862946,0.9593714728975341,0.9659561265979735,0.9644052813254462,0.9681797409617755,0.957782766208935,0.9664215130787859,0.9588080723844211,0.9572320103362261
Bacteria_33,0.960293592858985,0.969970410164256,0.9619222100648314,0.9614142861453125,0.9601018871075777,0.9623840658798284,0.9551051305275774,1.0,0.9626401504891713,0.952591307540368,0.9494723139169,0.9555551522830109,0.9575469828782988,0.9552368400181711,0.9609098304676933,0.9525542199164654,0.9591663485069123,0.9649473306328037,0.9577006382511998,0.9580467306395853
Bacteria_17,0.961249490144973,0.9612850566411307,0.9604557872254922,0.956808885846615,0.9604115794240532,0.9648255510940172,0.9589252171835038,0.9626401504891713,1.0,0.9604602925408254,0.9558722398971214,0.960826068716428,0.9582905920721777,0.9599394721728897,0.9583098684107408,0.9640254659625641,0.963380408947953,0.9589822728739422,0.9501937801800915,0.9593766676885389
Bacteria_37,0.9629821863311843,0.9676856215480517,0.9605328839145864,0.9706826330302891,0.9563605508583268,0.9639172700851171,0.9659639599637514,0.952591307540368,0.9604602925408254,1.0,0.9585885383282741,0.9577371764900016,0.9574999891442181,0.9543928656110405,0.9588356041118622,0.9649510137863612,0.9625690721744677,0.9562299968980762,0.9534167987530848,0.9609844640263845
Bacteria_6,0.9718143462681368,0.9627457727212365,0.9597421498557027,0.961592928769748,0.9573517422629655,0.9565378228422554,0.9599364931517926,0.9494723139169,0.9558722398971214,0.9585885383282741,1.0,0.9516090395748772,0.9522709329565742,0.9543553684168163,0.9673669880118251,0.9619312062468666,0.9637127597064689,0.9568767809564113,0.9516872928439543,0.958404124537713
Bacteria_42,0.9607463919198251,0.9654791865764417,0.9662592868185201,0.9667708647993711,0.9647182285770133,0.9737703848718056,0.9630302644862946,0.9555551522830109,0.960826068716428,0.9577371764900016,0.9516090395748772,1.0,0.9599348195413959,0.9587645922618678,0.9609215134326758,0.9575678200907254,0.9482378278789921,0.9517390263707781,0.9629321933707206,0.958181592617686
Bacteria_34,0.9669816187530538,0.9676942575010927,0.9635850667377803,0.9601402460132947,0.9676987381793307,0.9715654743578799,0.9593714728975341,0.9575469828782988,0.9582905920721777,0.9574999891442181,0.9522709329565742,0.9599348195413959,1.0,0.9523618379563675,0.9525848116488191,0.958260404410194,0.9551848897115445,0.9645482349051893,0.962589452761135,0.9478685434205458
Bacteria_39,0.9652471775514324,0.9617034951615944,0.9598729879511505,0.966600870577643,0.9670223029911688,0.9609088674303334,0.9659561265979735,0.9552368400181711,0.9599394721728897,0.9543928656110405,0.9543553684168163,0.9587645922618678,0.9523618379563675,1.0,0.9597554878761251,0.9491726988620105,0.9537392561710912,0.9562243403591731,0.9583247371111149,0.9534105244622214
Bacteria_21,0.9643068601447761,0.9621971585390477,0.9620668686783285,0.9677991185665719,0.9634458394890453,0.9635738603046503,0.9644052813254462,0.9609098304676933,0.9583098684107408,0.9588356041118622,0.9673669880118251,0.9609215134326758,0.9525848116488191,0.9597554878761251,1.0,0.9554558498921185,0.9641167432721022,0.9549870926322405,0.9547441010626676,0.9626410487869614
Bacteria_40,0.9638603987671837,0.9536784723261742,0.9643986277797683,0.9610220453071533,0.9569770637595856,0.9622846128226482,0.9681797409617755,0.9525542199164654,0.9640254659625641,0.9649510137863612,0.9619312062468666,0.9575678200907254,0.958260404410194,0.9491726988620105,0.9554558498921185,1.0,0.9699215368470726,0.9602505105760661,0.9542308537959607,0.9552798975106866
Bacteria_28,0.958496805482098,0.9575760120411607,0.9503109058909114,0.9580957364342959,0.9611664621863409,0.9641464693484905,0.957782766208935,0.9591663485069123,0.963380408947953,0.9625690721744677,0.9637127597064689,0.9482378278789921,0.9551848897115445,0.9537392561710912,0.9641167432721022,0.9699215368470726,1.0,0.9545405011392971,0.9554711081698767,0.9625136742459511
Bacteria_23,0.9643822370918664,0.9592802167789034,0.9660001389088124,0.9618412629792601,0.9635932971716039,0.966989232254612,0.9664215130787859,0.9649473306328037,0.9589822728739422,0.9562299968980762,0.9568767809564113,0.9517390263707781,0.9645482349051893,0.9562243403591731,0.9549870926322405,0.9602505105760661,0.9545405011392971,1.0,0.9522724236692707,0.9479893694324748
Bacteria_20,0.9629733312521186,0.9572446750685124,0.9597852975050166,0.9641881147956197,0.9702274674588164,0.9651908778434732,0.9588080723844211,0.9577006382511998,0.9501937801800915,0.9534167987530848,0.9516872928439543,0.9629321933707206,0.962589452761135,0.9583247371111149,0.9547441010626676,0.9542308537959607,0.9554711081698767,0.9522724236692707,1.0,0.95520172406259
Bacteria_41,0.9588870779851987,0.9647846662546884,0.9586940961694901,0.9565310453118464,0.9514241085091665,0.9586989289876553,0.9572320103362261,0.9580467306395853,0.9593766676885389,0.9609844640263845,0.958404124537713,0.958181592617686,0.9478685434205458,0.9534105244622214,0.9626410487869614,0.9552798975106866,0.9625136742459511,0.9479893694324748,0.95520172406259,1.0
